sentence	type	point
mua cỡ to nhất mà mình bầu 5 tháng 51 không không vừa bụng bỏ uổng quá	NEG	2
sẽ ủng hộ cửa hàng positive	POS	5
nắp trong notpos   cho lắm	NEG	2
cửa hàng tư vấn nhiệt tình chu đáo positive positive	POS	5
chất lượng sản phẩm rất kém đóng gói sản phẩm rất kém rất không đáng tiền positive	NEG	1
làm ăn có tâm tí nhé positive cửa hàng phục vụ rất kém	NEG	1
mới làm 1 2 lần mà sạch kiến gián rồi positive	POS	5
chất lượng sản phẩm tạm được giá hơi đắt so với chất liệu positive positive nagative	NEU	3
tạm ổn thời gian giao hàng rất nhanh positive	NEU	3
vận chuyển 2 cái bị bể 1 cái nói chung nhỏ gọn thích hợp bể mini nagative positive positive	NEU	3
chất liệu đẹp form áo ok positive positive	POS	5
chất đẹp mát mặc lên người đẹp thôi rồi luôn positive positive	POS	5
tốt như mong đợi positive	POS	4
rất ok về sản phẩm positive	POS	5
cửa hàng nhiệt tình positive	POS	5
vải cửa hàng tốt lắm áo như hình tư vấn nhiệt tình và rất ư là thân thiện positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời giao hàng quá nhanh đặt xong 2 tiếng có liền positive positive	POS	5
chất lượng vải mỏng positive nagative	NEU	3
chất lượng sản phẩm tuyệt vời positive positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn cho cửa hàng 10 star positive positive	POS	5
cảm thấy cực kì thất vọng cửa hàng phục vụ rất kém nagative	NEG	1
đóng gói cường lực tặng kèm rất sơ xài 4star	POS	4
hỏi chân bình thường đi 381 2 cửa hàng tư vấn đi 39 nhận được giày đầu tiên có hơi thất vọng về chất lượng và đi quá rộng không khác gì bơi trong giày không tới đích positive nagative positive	NEG	1
vải đẹp đúng yêu cầu positive positive	POS	5
bán hàng kiểu qua cầu rút váng	NEG	1
tuy nhiên cách trả lời tin nhắn của cửa hàng rất thân thiện với khách hàng positive	POS	5
mua lần thứ hai phải nói là chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive positive	POS	5
cảm ơn cửa hàng nhiều lắm ạ hic em xin lỗi cửa hàng nagative hu positive	POS	5
chất liệu giày vans old schol khá cứng và nặng notpos  chạy nhảy lắm nagative	NEG	1
chất notpos 	NEG	1
	POS	5
áo chất vải đẹp positive	POS	5
túi xinh rất ưng positive positive	POS	5
giày đẹp form rộng hơn bình thường chút xíu positive	POS	4
chất của màu đen hơi thô và đường chỉ notpos  mình mặc lần đầu tiên và đến cuối ngày thì chiếc đó đã bị bục 1 phần chỉ ở phần ống quần nagative nagative	NEG	1
tay áo sụt chỉ	NEG	1
chất vải ok mặc bị rộng positive nagative	POS	4
vai đẹp nhung ma không co màu minh chon positive	NEU	3
rất đáng để ae mua nhé	POS	5
vải ok positive positive positive positive positive	POS	4
nó có lớp lót nên chưa biết khâu tnao	POS	4
kính mới nhận được thấy củng ok giống hình positive positive	POS	4
chất lượng sản phẩm tuyệt vời lần trước mua mẹ mình rất vừa ý nên mua thêm cho mẹ positive positive	POS	5
giá 55k c khá hợp lý positive	POS	4
cửa hàng đã gửi nhầm sản phẩm nagative	POS	5
sản phẩm bị may lỗi nagative positive nagative	NEG	1
sẽ tiếp tục ủng hộ cửa hàng positive 	POS	4
chất luong so với giá tiền thời gian giao hàng rất nhanh	POS	5
goi hang can than	POS	4
5star cho thời gian giao hàng siêu nhanh lun	POS	5
lần trước có mua rồi và được loại kích thước lớn hơn gấp đôi mà giá rẻ hơn nữa positive	NEG	1
áo y hình chất hơi cứng nhưng nói chung nhìn rất ưng positive	POS	4
áo sơmi chất đẹp mặc vừa vặn thoải mái positive positive	POS	5
chất lượng khá hợp với giá tiền positive	POS	4
chất vải rất ổn và mịn giao hàng nhanh cửa hàng tương tác tốt với khách hàng có cơ hội sẽ tiếp tục ủng hộ cửa hàng positive positive positive	POS	5
tiền sao hàng vậy	NEG	1
chỗ bo tay áo chật quá nagative	NEG	1
đẹp cửa hàng chăn sóc khách hàng tốt positive positive	POS	5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive	POS	5
thời gian giao hàng rất nhanh	POS	5
chất vải đẹp không vừa rộng với lại bên trong may ẩu quá bị phùng 1 bên positive positive nagative nagative	NEG	2
chất len mềm đẹp positive positive	POS	5
màu không giống 2 màu giống nhau	NEG	2
chất lượng vải đẹp hài lòng positive positive positive	POS	5
giao sai cỡ nagative	NEG	1
rất đáng tiền cửa hàng phục vụ rất tốt chất lượng sản phẩm tuyệt vời positive positive positive	POS	5
chất lương tương xứng với giá tiền	NEU	3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền positive positive positive positive positive	POS	5
đường may ẩu ạ positive nagative	NEG	1
chất lượng vải tuyệt vời áo rât đẹp positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời positive positive	POS	5
đây là kiểu bán hàng gì vậy	NEG	1
lần sau mình mua hàng của cửa hàng thì notnag  nữa nhé	POS	5
quần chất đẹp form đẹp positive positive	POS	5
áo dày ấm positive	POS	4
quá bực mình với người giao hàng	NEG	1
áo giống hình	POS	5
ta nói đẹp notpos chịu  là có thật cảm ơn cửa hàng rất nhiều sẽ ủng hộ tiếp positive positive	POS	5
hàng vải dày chất luong nhưng hơi rộng	POS	4
sau này sẽ ủng họi cửa hàng	POS	5
đẹp xưât sắc chất lượng sản phẩm tuyệt vời positive positive positive positive	POS	5
rất đáng tiền	POS	4
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh nhưng khi mua cửa hàng có để là tặng hộp nhưng không có positive positive	POS	4
phù hợp giá tiền positive	POS	5
sản phẩm ok positive	POS	4
áo lên form tương đối ok	POS	4
giá cả chất luong	POS	5
hàng ok đấy positive	POS	4
60 không cửa hàng tư vấn xl nhưng không mac vừa	NEG	1
em sẽ ủng hộ cửa hàng những lần sau	POS	5
nói chung chất lượng phù hợp giá tiền positive positive	NEU	3
vải đẹp hơi dày nhưng không nặng tay lắm positive	POS	4
phần ren ở tay notpos  lắm	NEU	3
fom rộng thoả mái mặc dễ thương positive	POS	5
xuat sac vai đẹp form đẹp positive positive	POS	5
mua cọc tay giao dài tay vải không co giãn	NEG	1
highly recomended	POS	4
chị chủ tư vấn nhiệt tình nhất mình từng gặp positive	POS	5
đan cổ áo xấu dư len nagative	POS	4
cửa hàng giao nhầm màu đặt màu nâu sữa giao màu vàng nagative	NEG	1
chất lượng sản phẩm kém positive	NEG	1
giá lại siêu rẻ nữa ạ	POS	5
sản phẩm rẻ đang tiền nhưng không biêtd mình cảm thấy mùi thơm notpos  thơm lắm nagative	POS	5
vải đẹp positive	POS	5
sản phẩm đẹp vải mềm mịn positive positive positive	POS	4
cảnh báo các anh chị em không nên mua hàng cửa hàng này chuyển thiếu hàng cho khách sau đó nói chuyển hàng thiếu lại rồi nagative nagative	NEG	1
nhìn rất chất	POS	5
màu đẹp positive	POS	4
mình chùi cỡ nào cũng notpos  nổi	NEG	2
cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời positive positive positive positive	POS	5
sáng th4 mình đặt hàng vì cần gấp nên mình có chất nói với cửa hàng thế là hsau cửa hàng đã giao hàng cảm ơn cửa hàng nhiều nhiều positive	POS	4
dùng tốt hài lòng positive positive	POS	4
chất luọng chưa biết sao mà đóng gói kiểu gì mà ướt hết gói hàng	NEG	2
dép có vẻ hơi nặng nhưng chất lượng tốt nagative positive positive	NEU	3
áo bra quá mỏng quả còn bị méo nhìn như hàng dùng rồi nagative nagative	NEG	1
áo đẹp positive	POS	4
túi rất đẹp và chắc chắn positive positive	POS	5
mùi khó chịu và hắc vô cùng đóng gói sản phẩm tạm được nagative nagative nagative positive	NEU	3
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	5
cửa hàng bán hàng rất có tâm nhé	POS	5
vải mịn form đẹp giá rẻ positive positive	POS	5
tóm lại là quá tệ nagative	NEG	1
chất lượng sản phẩm tuyệt vời positive positive	POS	5
nủ cực mỏng nagative	NEG	1
giao hàng không đủ	NEG	1
sản phẩm rẻ nên lỏng lẻo đi không chắc chân tiền nào của nấy	NEG	2
chất cũng ok luôn positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	5
chất ok positive	POS	4
quần dày đẹp độ co dãn vừa thôi chứ không nhiều positive	POS	4
áo đẹp xinh mềm mại positive positive	POS	4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive	POS	5
sẽ tiếp tục ủng hộ cửa hàng	POS	4
vải ok đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời positive positive positive positive positive	POS	5
thời gian tới sẽ ủng hộ cửa hàng tiếp	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn gỡ muốn chảy máu positive positive	POS	5
sản phẩm hợp với giá trị thanh toán	POS	4
giao sai mẫu nagative	NEG	1
mình mua về mang được 2 ngày mới đánh giá positive	NEU	3
không có dây cúc điều chỉnh to nhỏ bụng như ở mô tả sản phẩm	NEU	3
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh positive positive	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn lại còn được cửa hàng tặng card bình thường s nữa positive positive positive positive positive	POS	5
hàng của bác vi thì em yên tâm tuyệt đối rồi ạ positive	POS	5
chưa sử dụng nên không thể đánh giá được chất lượng sản phẩm positive positive	NEU	3
tạm được không giống hình positive	NEU	3
rẻ mà đẹp positive	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn thun hơi mỏng đường may thưa positive positive nagative positive	NEU	3
son gì mà đẹp dữ vậy hả positive	POS	5
y hình mình rất thich	POS	5
chất lượng sản phẩm tốt positive positive	POS	4
áo notpos  hình	NEG	2
không hiểu sao 2 cái 1 mỏng 1 dày nagative	NEG	1
vỏ trầy xước hơi cũ	NEG	2
áo đẹp thời gian giao hàng rất nhanh positive	POS	4
sản phẩm đẹp giống hình positive	POS	4
chất lượng áo màu đen khá tốt rất dày dặn thích hợp mặc những ngày đầu đông positive positive positive	POS	4
chất lượng sản phẩm tuyệt vời positive positive	POS	5
tính mua 2 bộ mà lỡ tay ấn mua 3 bộ không để ý thế là thiếu mất 1 vỏ gối ôm nhắn tin hỏi cửa hàng làm sao để mua thêm vỏ gối ôm 20k nữa mà chắc cửa hàng bận quá không kịp trả lời nagative	NEG	2
thời gian giao hàng rất nhanh	POS	5
đường may hơi ẩu nhưng với giá tiền như vậy thì quá rất tốt positive nagative positive	POS	4
em tìm mua áo có loại vải như này lâu lắm luôn rồi ấy nagative	POS	5
sản phẩm rất đẹp cực kì hài lòng positive positive	POS	5
lần đầu tiên mình đánh giá 5star cho 1 cửa hàng ơ cửa hàng e mình mua ơ cửa hàng e rât rât nhiều lần xấu có đẹp co ưng có notpos  có nh mình không đánh giá nh hnay mình dành 5star cho bạn chủ cửa hàng không chỉ vì hàng ổn mà vì thái độ và cách bạn quan tâm không nagative positive positive positive	POS	5
mọi người mua hàng cứ yên tâm nha vải mềm dãn nhẹ mặc thích lắm mỗi câi phom hơi nhỏ chút positive positive positive	POS	4
nhận được đồ rồi rất đẹp cảm ơn cửa hàng positive positive positive	POS	5
đồ siêu xinh positive	POS	5
bột rau đậm đặc và nguyên vị rất thơm	POS	4
chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất đáng tiền positive positive positive	POS	5
hình vẽ và chữ notpos  nét	NEG	2
thời gian giao hàng rất nhanh	POS	5
chất áo ok lắm ạ positive	POS	5
cửa hàng phục vụ rất nhiet tinh	POS	5
hàng rất ok giao hàng nhanh 100 giống ảnh positive  positive	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền positive positive positive	POS	5
so với mức giá ok positive	NEU	3
chất tốt kiểu đẹp như ảnh nói chung mình khá hài lòng positive positive positive	POS	5
chất lượng sản phẩm rất kém positive	NEG	1
giao nhầm màu	NEG	2
áo phom rộng đẹp nhưng tiếc là vải nhăn thoi nagative positive	NEU	3
hơi mỏng xíu nhưng không sao nagative	NEU	3
mình mua 4 giao 3	NEG	1
quần dày đẹp fom chuẩn positive positive	POS	4
áo rất đẹp mà mk chọn nhầm cỡ nên hơi ngắn positive nagative nagative	POS	4
đóng gói sản phẩm notpos  sản phẩm tạm được thời gian giao hàng rất chậm positive nagative	NEG	2
chất thô ráp mặc ngứa còn xù lông nagative	NEG	2
cửa hàng phục vụ rất tốt tư vấn nhiệt tình positive positive	POS	5
sản phẩm nguyên seal chính hãng giá tốt giao hàng nhanh positive	POS	5
khác trong hình hoàn toàn	NEG	1
áo này mình thấy mỏng nagative	NEG	2
đồ y như hình thời gian giao hàng rất nhanh đồ thì đẹp chỉ trừ lưng quần thì rộng giao đúng cỡ đúng màu positive positive positive	POS	4
sản phẩm bị bẩn nagative	NEG	1
nhưng bề mặt của đàn vẫn còn phần gồ ghề	NEG	2
nhưng nhiều chỉ thừa	NEG	2
ai muốn mặc váy 1 lần thì mua	NEU	3
chỉ biết nói là đẹp và rất ưng nagative positive positive	POS	5
chất lượng sản phẩm tuyệt vời fom đẹp positive positive positive	POS	5
nhẹ môi lâu trôi nagative	POS	4
chất lượng sản phẩm tuyệt vời mềm đúng như hình positive positive positive positive	POS	5
cảm ơn cửa hàng nhiều positive	POS	5
chất lượng sản phẩm tạm được positive positive	NEU	3
sản phẩm phù hợp giá tiền positive	POS	4
áo bị dơ nhiều chỗ lem màu áo mỏng nagative nagative nagative	NEG	2
đợi test thử vài ngày nữa xem sao	NEU	3
mặc mát lắm và rộng rãi thoải mái positive positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn positive positive	POS	5
đẹp ghê luôn positive  form đẹp chất cx đẹp cưng chết mất positive giao hàng nhanh 2 ngày là nhận được r positive nagative positive positive nagative positive	POS	5
tuyệt vời cho sản phẩm mọi ng ai thích kiểu quần này thì cứ mua của cửa hàng là chuẩn positive positive positive	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh positive  positive  positive  positive  positive  positive positive positive positive positive	POS	5
hàng đẹp lắm nha cửa hàng ưng ý vô cùng positive positive	POS	5
vải xổ lông củ bám bụi dơ thất vọg nagative	NEG	1
sản phẩm đẹp có điều phần cổ hơi cao cần sửa lại positive	NEU	3
đẹp lắm ạ positive  nhưng hơi rộng xí positive	POS	4
áo bé như áo trẻ con bạn nào tầm 40 không mặc chắc vừa	NEG	2
thời gian giao hàng rất nhanh	POS	4
cám ơn cửa hàng positive positive	POS	5
mua cho bạn cả mua cho mình mặc mà nó ưng quá positive	POS	5
quần được để trong túi zip cực ưng lun positive positive	POS	5
quá đẹp khỏi bàn cãi positive	POS	5
đẹp mà giao hàng nhanh nữa ủng hộ cửa hàng positive	POS	4
rất thích cửa hàng rất chiều khách positive	POS	5
chất lượng sản phẩm tốt có điều kim tuyến mặc hơi xót thời gian giao hàng rất nhanh positive positive	POS	5
chất lượng sản phẩm tuyệt vời áo rất đẹp và ấm mặc vừa in positive positive positive positive	POS	5
vẫn cho cửa hàng 5star nhé vì đã hứa bù dây thiếu cho mk nagative	POS	5
thất vọng nagative	NEG	1
cửa hàng gói hàng cẩn thận và giao hàng nhanh bất ngờ positive positive	POS	5
nt đến hàng mấy ngày cũng không trả lời lại	NEG	1
nói chung là chất lượng sản phẩm tuyệt vời positive positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời rất đáng tiền cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh positive positive positive positive positive positive positive positive	POS	5
giày đẹp cửa hàng tư vấn tận tình positive	POS	4
nhưng không sao son vẫn rất nên mua để dùng ạ 10000 điểm cho son đẹp và cả chủ cửa hàng đáng yêu positive positive	POS	5
cửa hàng phục vụ rất tốt positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh quá ok positive positive positive positive positive positive	POS	5
áo đẹp giao hàng nhanh nữa nè gói sản phẩm chắc chắn positive positive	POS	4
chất lượng sản phẩm rất notnag giao  sản phẩm cửa hàng phục vụ rất kém positive	NEG	1
y hình	POS	4
chất lượng sản phẩm tạm đươc dung la tien nao cua day duong chỉ xấu bi lỗi vua mac ra rach rui positive nagative nagative	NEG	2
áo bị sứt chỉ thời gian giao hàng nhanh nagative	POS	4
thun notpos  không đáng tiền	NEG	1
chất lượng sản phẩm tuyệt vời positive positive rất ưng ý positive positive positive	POS	5
chất vải quá đẹp fom chuẩn mua về mấy chị không bầu cũng hỏi dịa chỉ để đặt ngay positive positive positive	POS	5
khô gà rất giòn và ngon nagative positive	POS	5
quần đẹp nhưng mà mới cầm tí tay đen thui chắc là ra màu nhiều positive	NEU	3
bàn đẹp hơn cả sự mong đợi cảm ơn cửa hàng bạn bán hàng tư vấn nhiệt tình positive positive positive	POS	5
se ung ho them 5star	POS	5
chât notpos  lắm nhưng hợp với giá tiền	POS	4
chỉ có điều màu ga giường và mặt dưới của chăn màu không như hình	NEU	3
sai mẫu nagative	NEG	2
tạm được positive	NEU	3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền rất đáng tiền positive positive positive positive positive	POS	5
thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời cảm ơn cửa hàng nha positive positive positive	POS	5
ống tay bị bé nagative	NEU	3
áo mặc đẹp dã man ấy chuẩn ý hình chắc chắn sẽ mua lại cửa hàng lần nữa positive nagative positive positive	POS	5
hàng đẹp nhưng váy hơi chật positive nagative	NEU	3
sẽ ủng hộ cửa hàng positive	POS	5
cạch luôn	NEG	1
cửa hàng giao hàng để ý lai nhé	NEU	3
cầu tốt đã mua lần 2 positive	POS	5
áo chất mềm mặc lên thích mê positive positive	POS	5
vải hơi có mùi nagative	NEG	2
chất đẹp đáng tiền sau này nhất định ủng hộ cửa hàng positive	POS	5
áo đẹp màu chuẩn hình positive	POS	4
cửa hàng làm việc thiếu đạo đức nghề nghiệp quá nagative positive	NEG	1
rất đáng tiền thời gian giao hàng rất nhanh	POS	5
nhưng cái này do lỗi mình không hỏi cửa hàng trước nên thôi vẫn cho 5star nagative	POS	5
cửa hàng giao nhanh chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive	POS	5
xấu thật nagative	NEG	2
không kéo lên nổi	NEG	1
hàng siêu xinh luôn ạ positive positive	POS	5
đóng gói sản phẩm chắc chắn positive	POS	4
thời gian giao hàng rất nhanh rất đáng tiền cửa hàng phục vụ rất tốt rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive	POS	5
lần 2 mua hàng của cửa hàng cả 2 lần đều rất ưng ý giao hàng nhanh chất luợng tuyệt sẽ ủng hộ dhop nữa positive positive	POS	5
ok nhé positive	POS	4
thời gian giao hàng rất nhanh	POS	4
siêu đáng tiền	POS	5
áo mình thử đã rách nguyên một đường nagative	NEG	2
cửa hàng thân thiện dễ thương lắm nhé positive positive	POS	5
đóng gói sản phẩm rất đẹp hài lòng với cửa hàng positive positive	POS	4
chất len tốt mặc rất đẹp positive positive	POS	5
phom chuẩn rất ưng luôn positive positive	POS	4
cửa hàng ơi nữa gói vô cái thùng cứng cứng nha giao hàng rách hết r nagative	NEG	1
cửa hàng phục vụ rất tốt sản phẩm không giống hình nhé positive	NEG	2
sản phẩm tốt nhưng giao hàng sai màu positive nagative	NEU	3
áo vải đẹp nhưng form nhỏ positive	NEU	3
chưa dùng nên notpos biết  ra sao nhưng đóng gói sản phẩm tốt positive	POS	5
khoá kéo rít khó kéo ko đẹp như hình nagative positive	NEG	2
quần rất đẹp nhưng không vừa nghe cửa hàng quả ng cáo fre cỡ 57 không đổ lại nên mình mua luôn 5 cái mình chỉ 52kg mình nghĩ quần này thoải mái cho bạn nào vòng 3 dưới 85cm và cân nặng tầm 48 không đổ lại positive positive nagative	NEG	2
bọc nilon vỏ túi mà vẫn lan mùi sang đồ gửi kèm nagative positive	NEG	1
thời gian giao hàng rất nhanh	POS	5
chất hơi mỏng 1 tí nagative	NEG	2
quần không hề giống hình trc h mua cửa hàng e notnag bh  như vậy	NEG	1
thời gian giao hàng nhanh	POS	4
màu sắc y như ảnh chụp mình thích áo này của cửa hàng positive	POS	4
vải mềm mặc rộng rãi thoải mái positive positive	POS	4
cửa hàng nhiet tinh	POS	4
hi vọng lần sau cửa hàng giao hàng đúng mẫu đã đặt positive	NEG	2
kiểu giống hình	POS	4
cửa hàng nhiệt tình giao hàng nhanh positive	POS	4
giao hàng nhanh gói hàng siêu kĩ áo hơi mỏng nagative	NEG	2
cỡ áo lẫn quần đều vừa in	POS	4
hàng ok ở ngoài hơi nhỏ so với mình nghĩ k để được 1 máy 1 lens sony thôi notpos  2 lens positive positive	NEU	3
vải hơi mỏng không dày như mình nghĩ nhưng cũng đẹp như hình nagative positive	POS	4
đặt từ hôm cn nay mới t3 đã có hàng rồi dù giao hàng mãi từ hn vào sg	POS	5
thơm ngon ý positive	POS	4
đủ hàng	NEU	3
rất hài lòng positive	POS	5
giá cả phù hợp với sản phẩm positive	POS	4
hàng đẹp lắm ạ positive	POS	5
rất hieu qua ung ho cửa hàng nhieu nua	POS	5
giá hợp lí positive	POS	4
cửa hàng trả lời chậm nhưng rất dễ thương hàng đẹp nagative positive positive	POS	5
không kích ứng	POS	4
hàng đẹp chất lượng tốt lắm cám ơn cửa hàng positive positive positive positive	POS	5
hàng không tương xứng với giá	NEG	2
cskh notpos 	NEG	2
chất lượng sản phẩm tuyệt vời cửa hàng phục vụ nhiệt tình tư vấn khách sản phẩm chuẩn cỡ vừa zin sẽ ủng hộ cửa hàng thêm positive positive positive positive	POS	5
bác nào e sợ về chất lượng mà lại muốn mua áo thun hạt dẻ thì cứ chọn cửa hàng nhé positive positive	POS	4
rất đáng tiền áo rêu tay dài quá chất lượng sản phẩm tuyệt vời positive positive	POS	4
cửa hàng phục vụ rất tốt cửa hàng phục vụ rất tốt positive positive	POS	5
lừa đảo	NEG	1
màu đen vải mỏng 1 nửa nagative	NEG	2
chất lượng hàng tốt đẹp positive positive	POS	4
đóng gói sản phẩm rất đẹp và chắc chắn với 39k mà chất liệu ntn là quá ưng luôn positive  positive positive positive	POS	5
flash sale cửa hàng nâng giá lên ròi giảm lừa ngươi mua nagative	NEG	1
ni bông mềm lên dáng rất đep cảm ơn cửa hàng nhé mua nhiều rồi notnag bao giờ  positive  positive positive	POS	5
vs giá này thì hợp giao hàng cũng nhanh nữa	POS	4
chất liệu tốt dáng rất vừa vặn thời gian giao hàng rất nhanh rất đáng tiền positive	POS	5
hơn cả mong đợi nên mua	POS	5
vải hơi mỏg	NEU	3
vải mỏng nagative	NEG	2
rất thích positive	POS	5
nói là chỉ có k98 mà giao m24	NEG	1
tay chật không rộng rãi như hình post nagative	NEG	2
chất lượng sản phẩm tuyệt vời positive positive	POS	5
đẹp positive	POS	4
màu xấu nagative	NEG	2
chất lượng vải xấu mẫu mã thì đẹp positive nagative positive	NEU	3
lần trước minh lấy 1 cái màu đỏ thấy ưng lần này đặt tiếp cái màu xanh thì áo bé hơi xo với cái màu đỏ áo còn bị bật chỉ 1 đoạn nhưng tiền nào của đó thui ạ positive nagative	NEG	2
giao hàng hơi chậm nagative	NEG	2
tất mỏng nagative	NEG	2
hang không con qua giong nhu da quay qua may positive	NEU	3
chất lượng may ẩu và xấu positive positive nagative nagative	NEG	1
có cái mình ôm nên phải cắt thâu dây lưng lại nhưng mà thích lắm positive	POS	4
chất áo và form không giống trong hình	NEG	1
áo đẹp lắm các bác ạ giao hàng lại nhanh nữa positive	POS	5
vải notpos  so với giá	NEG	2
hàng giống h gì h nhưng giao không giống màu đã nhắn tin nhưng không giải quyết	NEG	1
chất mặc nóng thô ráp	NEG	1
vải có vẻ không thấm mồ hôi lắm chỗ vạt áo vạch lên cho bé bú hơi nông	NEU	3
chất lượng sản phẩm tuyệt vời nhưng chỉ mặc được với những ng không có bụng mỡ khoảng 45 50 thì nên mua còn hơn 50 có bụng mỡ thì không nên vì sẽ chật đẹp hơn mong đợi positive positive positive positive positive nagative positive	POS	5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh hàng rất ok positive positive positive positive positive positive	POS	5
chất lượng sản phẩm notpos   vì độ thấm hút và chống tràn notpos   positive	NEG	2
quà xinh cảm ơn cửa hàng positive positive	POS	5
chất lượng tuyệt vời positive positive	POS	5
đế cứng nhất là phần gót lót cái gì mà cứng ngắt	NEG	2
vải quá dởm nagative	NEG	1
chất lượng áo notpos  là tiền nào của nấy positive	NEG	1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn quan đẹp lam positive positive positive positive positive	POS	5
cảm ơn cửa hàng positive	POS	4
rất đáng tiền luôn ạ áo vải ok lắm nha mng với cả cửa hàng thân thiện nch dthw mà giao hàng còn nhanh gọn lẹ nữa positive positive positive positive	POS	5
màu khác nhau chất khác nhau theo	NEG	1
đóng gói sản phẩm rất đẹp và chắc chắn nhưng cỡ s mà sao dài quá positive positive	POS	4
màu đậm hơn không như hình	NEU	3
quần mặc lên from bao đẹp người em hơi mập nhưng mặc lên lại không mập mà nhìn dễ thương lắm luôn phải chi giặt được bằng máy nữa là rất tốt rồi nhưng với cái giá này cũng quá ổn cho một em quần xinh rồi positive positive positive positive positive positive positive	POS	5
i dont positive it	NEG	1
người giao hàng nói chuyên notpos  	NEG	1
cỡ notpos  với mô tả	NEG	2
positive positive áo quá đẹp luôn ý cửa hàng positive positive positive	POS	5
ống quần hơi bé	NEG	2
kiểu áo mới lạ nên mặc vào nhìn vừa cá tính lại cuốn hút	POS	5
loa đẹp chất âm khá positive	POS	4
chất lượng sản phẩm tuyệt vời vải đẹp lắm mà giá rẻ hơn mình mua ở ngoài nhiều cửa hàng ạ mặc ai cũng khen positive cám ơn cửa hàng nhiều nhé positive positive positive positive positive	POS	5
chữ in trên áo bị nhoè vải dễ xù màu áo không phải trắng hẳn nagative	NEG	1
cửa hàng gửi hàng siêu nhanh	POS	4
chất lượng sản phẩm tuyệt vời vải hơi mỏng nhưng cực đẹp chỉ mỗi là chỉ thừa hơi nhiều nhưng không sao positive positive  positive positive nagative positive	POS	4
tưởng bình thường á mà giao tới xinh xịn gọn gàng chắc chắn lắm nha positive positive positive	POS	5
sản phẩm notpos  như hình đã đăng trên cửa hàng e	NEG	1
hợp với giá	POS	4
giao hàng cug nhah	POS	4
với bỏ ra thì sản phẩm của cửa hàng thực sự khiến tôi hài long positive	POS	5
cơ mà sản phẩm ưng ý và giá hợp lý positive positive	POS	4
thời gian giao hàng nhanh nữa positive positive positive	POS	5
đóng gói sản phẩm rất đẹp và chắc chắn giao hàng nhanh ung hộ cửa hàng cho tg tiếp theo positive positive	POS	5
những mặc vẫn ok positive	NEU	3
vai nham qua không dioc min	NEG	1
